คำค้น,ชื่อหลักสูตร,มหาวิทยาลัย,คณะ,ประเภทหลักสูตร,ค่าใช้จ่าย,ลิงก์,วันที่เก็บข้อมูล
วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยราชภัฏพิบูลสงคราม,คณะเทคโนโลยีอุตสาหกรรม > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"ค่าบำรุงการศึกษา 12,000 บาท ต่อภาคการศึกษา",https://course.mytcas.com/programs/21520106300501A,2025-07-27 21:41:59
วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยราชภัฏสวนสุนันทา,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"ค่าลงทะเบียนเรียน 18,500 บาท ต่อภาคเรียน และค่าธรรมเนียมแรกเข้าศึกษา 5,350 บาท (ค่าแรกเข้าชำระเฉพาะภาคเรียนแรกที่เข้าศึกษา) สามารถดูประกาศค่าธรรมเนียม ณ วันที่ประกาศรายชื่อผู้มีสิทธิ์เข้าศึกษาที่เว็บไซต์ https://admission.ssru.ac.th/login",https://course.mytcas.com/programs/21660105300516A,2025-07-27 21:42:03
วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์และเครือข่าย สาขาวิชาวิศวกรรมคอมพิวเตอร์และเครือข่าย (ภาษาไทย ปกติ),มหาวิทยาลัยราชภัฏอุบลราชธานี วิทยาเขตหลัก,คณะเทคโนโลยีอุตสาหกรรม > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"72,610 บาท",https://course.mytcas.com/programs/21710105300590A,2025-07-27 21:42:07
วิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,คณะครุศาสตร์อุตสาหกรรม > คอมพิวเตอร์,ภาษาไทย ปกติ,100000 ตลอดหลักสูตร (14000 ต่อภาคเรียน),https://course.mytcas.com/programs/31910102700901A,2025-07-27 21:42:12
วิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,20000 บาท/ภาคการศึกษา,https://course.mytcas.com/programs/31910104300501A,2025-07-27 21:42:16
วิศวกรรมคอมพิวเตอร์,วศ.บ. (วิศวกรรมคอมพิวเตอร์และระบบไอโอที) (ภาษาไทย ปกติ),มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,อัตราค่าบำรุงการศึกษา ภาคการศึกษาแรก 16120 บาท / ภาคการศึกษาถัดไป 11700 บาท,https://course.mytcas.com/programs/31920104300501A,2025-07-27 21:42:20
วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร พระนครเหนือ,คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,15000,https://course.mytcas.com/programs/31940504300501A,2025-07-27 21:42:25
วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์ 4 ปี (ภาษาไทย ปกติ),มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์ ศาลายา,คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"สายวิทยาศาสตร์ค่าเทอมเหมาจ่าย 15,000/ภาคการศึกษา สายสังคมค่าเทอมเหมาจ่าย 12,000/ภาคการศึกษา",https://course.mytcas.com/programs/31950101300501A,2025-07-27 21:42:29
วิศวกรรมคอมพิวเตอร์,อส.บ. เทคโนโลยีวิศวกรรมคอมพิวเตอร์ 4 ปี (ภาษาไทย ปกติ),มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์ วังไกลกังวล,คณะอุตสาหกรรมและเทคโนโลยี > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"สายวิทยาศาสตร์ค่าเทอมเหมาจ่าย 15,000/ภาคการศึกษา สายสังคมค่าเทอมเหมาจ่าย 12,000/ภาคการศึกษา",https://course.mytcas.com/programs/31950203300501A,2025-07-27 21:42:33
วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย สงขลา,คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"110,000",https://course.mytcas.com/programs/31970104300501A,2025-07-27 21:42:38
วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และนวัตกรรมดิจิทัล (ภาษาไทย ปกติ),มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย สงขลา,คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"110,000",https://course.mytcas.com/programs/31970104300502A,2025-07-27 21:42:42
วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์และการสื่อสาร (ภาษาไทย ปกติ),มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย ตรัง,คณะวิศวกรรมศาสตร์และเทคโนโลยี > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"110,000",https://course.mytcas.com/programs/31970615300501A,2025-07-27 21:42:47
วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา,คณะวิศวกรรมศาสตร์และเทคโนโลยี > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 152,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/31990103300501A,2025-07-27 21:42:51
วิศวกรรมคอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยศรีปทุม,คณะเทคโนโลยีสารสนเทศ (กทม.) > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,ไม่พบข้อมูล,https://course.mytcas.com/programs/40540111300501A,2025-07-27 21:42:56
วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์) (ภาษาไทย ปกติ),มหาวิทยาลัยหอการค้าไทย,คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"อัตราค่าเล่าเรียน 340,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/40560107300501A,2025-07-27 21:43:00
วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์ สาขาวิชาวศ.บ. วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์ (ภาษาไทย ปกติ),มหาวิทยาลัยเทคโนโลยีมหานคร,วิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,_,https://course.mytcas.com/programs/40610130300501A?major=A,2025-07-27 21:43:04
วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยรังสิต,วิทยาลัยวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"ค่าเล่าเรียนตลอดหลักสูตร 396,800",https://course.mytcas.com/programs/40680111300501A,2025-07-27 21:43:09
วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยธุรกิจบัณฑิตย์,วิทยาลัยวิศวกรรมศาสตร์และเทคโนโลยี > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,ค่าเล่าเรียนตลอดหลักสูตร 337000 บาท,https://course.mytcas.com/programs/41030102300501A,2025-07-27 21:43:13
วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยเกษมบัณฑิต วิทยาเขตร่มเกล้า,คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"282,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/41800204300501A,2025-07-27 21:43:17
วิศวกรรมคอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยสยาม วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"ประมาณการอัตราค่าเล่าเรียน ตลอดหลักสูตร 303,500 บาท",https://course.mytcas.com/programs/41810101300501A,2025-07-27 21:43:22
วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์ (ภาษาไทย ปกติ),สถาบันการจัดการปัญญาภิวัฒน์ แจ้งวัฒนะ นนทบุรี,คณะวิศวกรรมศาสตร์และเทคโนโลยี > วิศวกรรมปัญญาประดิษฐ์,ภาษาไทย ปกติ,"อัตราค่าเล่าเรียน 384,000 บาท ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.2 ได้)",https://course.mytcas.com/programs/49180101303701A,2025-07-27 21:43:26
